market,category,market_avg_price,overall_avg_price
Dindigul,oil and fats,117.90764172335592,124.64615797712182
Jodhpur,oil and fats,117.54438709677416,124.64615797712182
Siliguri,oil and fats,116.84435483870969,124.64615797712182
Chandigarh,oil and fats,115.99563302752291,124.64615797712182
Karnal,oil and fats,115.73533106960946,124.64615797712182
Delhi,oil and fats,115.6293031358885,124.64615797712182
Kanpur,oil and fats,115.28523333333328,124.64615797712182
Shimla,oil and fats,115.25258382642993,124.64615797712182
Ludhiana,oil and fats,114.83097173144881,124.64615797712182
Dehradun,oil and fats,114.35362385321105,124.64615797712182
Kota,oil and fats,113.44954792043403,124.64615797712182
Lucknow,oil and fats,112.83929003021144,124.64615797712182
Nagpur,oil and fats,112.66167608286246,124.64615797712182
Gwalior,oil and fats,112.6003000000001,124.64615797712182
Bengaluru,oil and fats,111.06031879194637,124.64615797712182
Aizawl,oil and fats,110.71186320754715,124.64615797712182
Hisar,oil and fats,110.114296875,124.64615797712182
Indore,oil and fats,109.11627087198514,124.64615797712182
Dharwad,oil and fats,109.01381132075474,124.64615797712182
Chennai,oil and fats,107.55846315789474,124.64615797712182
Agra,oil and fats,106.69967181467182,124.64615797712182
Raipur,oil and fats,106.33475778546708,124.64615797712182
Rourkela,oil and fats,106.07816625916865,124.64615797712182
Vijaywada,oil and fats,105.35032196969699,124.64615797712182
Bhagalpur,oil and fats,104.12260273972605,124.64615797712182
Sambalpur,oil and fats,103.90231818181825,124.64615797712182
Agartala,oil and fats,103.68467230443979,124.64615797712182
Cuttack,oil and fats,103.13313559322032,124.64615797712182
Mumbai,oil and fats,102.69655763239871,124.64615797712182
Jabalpur,oil and fats,101.68487288135591,124.64615797712182
Kolkata,oil and fats,101.22527738264586,124.64615797712182
Patna,oil and fats,101.22044091710751,124.64615797712182
Rajkot,oil and fats,101.02388333333333,124.64615797712182
Jaipur,oil and fats,100.12025495750716,124.64615797712182
Shillong,oil and fats,99.99800335570467,124.64615797712182
Hyderabad,oil and fats,97.95407407407407,124.64615797712182
